338406210539757568  May 25 17:28  @DaNcEr4LyFe101   Saw a guy driving a lawm mower across the street today #onlyimwautoma #SFAF
339715632696283136  May 29 08:11  @bioinformer      First day at #SFAF in Sante Fe yesterday started out great with diner /drinks with the @CLCbio crew. Looking forward to today's talks. #NGS
339746781728497664  May 29 10:15  @digitalbio       Attending the 8th Annual Sequencing, Finishing, Analysis in the Future meeting in Santa Fe, NM #SFAF looking forward to latest in DNA tech
339747170704039938  May 29 10:16  @digitalbio       Keynote - Richard Gibbs will be talking about Genomic Futurism.  #SFAF
339747495976505344  May 29 10:18  @digitalbio       Todd Smith (@finchtalk) will talk about Effects of Deepwater Horizon Oil Spill on Atlantic Oyster transcriptome #SFAF
339751565030211584  May 29 10:34  @CLCbio           RT @bioinformer: First day at #SFAF in Sante Fe yesterday started out great with diner /drinks with the @CLCbio crew. Looking forward to today's talks. #NGS
339754326450909185  May 29 10:45  @digitalbio       #SFAF thanks sponsors PacBio, Life Technologies, Illumina, Roche, PerkinElmer, NEB, IDT, DNAnexus, CLC Bio, BioNano, Opgen, Novozymes, Kapa
339758064305598464  May 29 11:00  @digitalbio       #SFAF - a packed room is listening to Richard Gibbs tell us about healthy genomes and ubiquity of rare variants
339758809704722432  May 29 11:03  @aphillippy       @SahaSurya FYI, I'm here too. I vote for #SFAF so I don't have to type as many letters if I decide to tweet :)
339758902201708544  May 29 11:03  @digitalbio       Discussing relative Importance of rare variants (family) vs. common variants (population) in disease - Clan Genomics - #SFAF
339759216040501249  May 29 11:04  @digitalbio       So far - only a handful of mutations in cancers give actionable information with regard to drugs - rapid PCR can diagnose #SFAF
339762286686257152  May 29 11:16  @bioinfosm        RT @digitalbio Discussing relative Importance of rare variants (family) vs. common variants (population) in disease - Clan Genomics - #SFAF
339763214747324416  May 29 11:20  @infoecho         Not in #SFAF, need to work on some assembly finishing....
339763392048943104  May 29 11:21  @digitalbio       R. Gibb:  Baylor College of Medicine's clinical sequencing lab is doing exomes - right now, 200 whole genome cases a month.  #SFAF
339763543073234944  May 29 11:21  @bioinformer      RT @aphillippy: @SahaSurya FYI, I'm here too. I vote for #SFAF so I don't have to type as many letters if I decide to tweet :)
339764789683302400  May 29 11:26  @digitalbio       Interesting story about nonsense mutations #SFAF http://www.ncbi.nlm.nih.gov/pubmed/?term=Bainbridge+ASXL3
339767086521921538  May 29 11:36  @digitalbio       #SFAF - oyster project  work from Natalia Reyero - What can Next Gen Sequencing tell us about the biosphere - ex: effects of oil on oysters?
339767695102853120  May 29 11:38  @digitalbio       #SFAF oysters are a multibillion dollar part of food industry, they clean water, act as "canaries in the coal mine" for ocean ecosystems
339768056312127488  May 29 11:39  @digitalbio       Smith:  Oysters were sampled pre and post spill, high in the ground (more O2) & lower (less O2) #SFAF
339768337389219840  May 29 11:40  @digitalbio       Oyster enzymes convert hydrocarbons from oil into compounds that can intercalate into DNA #SFAF
